update,cycle,active_n,transitions_per_arm,tokens_per_arm,shared_success,specialist_success,shared_loss,specialist_loss,shared_gradient_norm,specialist_gradient_norm,sample_replay_logp_max_error,prefix_replay_max_error,masked_probability_mass_max,elapsed_seconds
166,34,5,84992,340480,0.0,0.0,-0.013913015834987164,-0.017046742141246796,0.018203919753432274,0.0010248946491628885,0.0,0.0,0.0,472.0684715000025
167,34,6,85504,343552,0.0,0.0,-0.01523368526250124,-0.018755365163087845,0.031401317566633224,0.0021841709967702627,0.0,0.0,0.0,475.10487439999997
168,34,2,86016,344576,0.0,0.0,-0.006509110797196627,-0.010473749600350857,0.032304804772138596,0.002762502757832408,0.0,0.0,0.0,476.73907780000445
169,34,4,86528,346624,0.0,0.0,-0.01201226469129324,-0.015452170744538307,0.03153254836797714,0.001235168892890215,0.0,0.0,0.0,479.55902760000026
170,34,3,87040,348160,0.0,0.0,-0.009883896447718143,-0.012992659583687782,0.027857782319188118,0.0025458168238401413,0.0,0.0,0.0,481.3309853000028
171,35,3,87552,349696,0.0,0.0,-0.009819299913942814,-0.012991485185921192,0.044925566762685776,0.002269244519993663,0.0,0.0,0.0,483.02572150000196
172,35,2,88064,350720,0.0,0.0,-0.006298890337347984,-0.01047293096780777,0.07038162648677826,0.0012046737829223275,0.0,0.0,0.0,484.8455294000014
173,35,4,88576,352768,0.0,0.0,-0.01172147411853075,-0.015451867133378983,0.03675159811973572,0.0018322046380490065,0.0,0.0,0.0,489.23137910000514
174,35,6,89088,355840,0.0,0.0,-0.014931227080523968,-0.01875593326985836,0.04291900247335434,0.0016858376329764724,0.0,0.0,0.0,494.2576390000031
175,35,5,89600,358400,0.0,0.0,-0.013451620005071163,-0.017047768458724022,0.019541993737220764,0.0013707430334761739,0.0,0.0,0.0,497.80612980000296
176,36,5,90112,360960,0.0,0.0,-0.013527908362448215,-0.01704695262014866,0.017362160608172417,0.0015146264340728521,0.0,0.0,0.0,501.0664171000026
177,36,3,90624,362496,0.0,0.0,-0.009496448561549187,-0.012992057017982006,0.03990214318037033,0.0013302366714924574,0.0,0.0,0.0,503.44640410000284
178,36,6,91136,365568,0.0,0.0,-0.014592121355235577,-0.018755316734313965,0.02066236548125744,0.0012511225650087,0.0,0.0,0.0,507.054361100003
179,36,4,91648,367616,0.0,0.0,-0.011303364299237728,-0.015450981445610523,0.0385260172188282,0.0009537317091599107,0.0,0.0,0.0,509.9431893000001
180,36,2,92160,368640,0.0,0.0,-0.005273875314742327,-0.010472867637872696,0.03873920440673828,0.0026259315200150013,0.0,0.0,0.0,511.8196578000061
181,37,3,92672,370176,0.0,0.0,-0.009199566207826138,-0.012991403229534626,0.03606187552213669,0.0023911308962851763,0.0,0.0,0.0,513.932710000001
182,37,2,93184,371200,0.0,0.0,-0.005006765015423298,-0.010472871363162994,0.08282287418842316,0.002554967300966382,0.0,0.0,0.0,515.7359326000005
183,37,4,93696,373248,0.0,0.0,-0.010929887183010578,-0.015450375154614449,0.0321480892598629,0.0022990379948168993,0.0,0.0,0.0,518.8401212000026
184,37,5,94208,375808,0.0,0.0,-0.012847472913563251,-0.017047198489308357,0.027825888246297836,0.0007851897389627993,0.0,0.0,0.0,521.9259181000016
185,37,6,94720,378880,0.0,0.0,-0.013971202075481415,-0.01875496655702591,0.039399705827236176,0.001811423571780324,0.0,0.0,0.0,524.9718203000011
